
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_lMtildestateIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:    89811
Number of nonzeros in inequality constraint Jacobian.:       92
Number of nonzeros in Lagrangian Hessian.............:    39270

Reallocating memory for MA57: lfact (1621003)
Total number of variables............................:    19997
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    19997
                     variables with only upper bounds:        0
Total number of equality constraints.................:    15121
Total number of inequality constraints...............:       47
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:       47
        inequality constraints with only upper bounds:        0
 102 2.6972842e-001 1.44e+000 4.16e-003  -5.1 1.88e-001  -4.0 9.94e-001 1.00e+000h  1
 103 2.4638932e-001 3.58e-001 4.36e-003  -5.5 9.03e-002  -3.5 1.00e+000 1.00e+000h  1
 104 2.8198921e-001 2.31e+000 3.62e-003  -4.9 3.10e-001  -4.0 1.00e+000 1.00e+000h  1
 105 2.7341013e-001 6.14e-001 1.32e-003  -5.0 5.12e-001  -4.5 1.00e+000 1.00e+000h  1
 106 2.4844472e-001 3.29e+000 2.19e-003  -5.4 3.24e-001    -  9.94e-001 1.00e+000h  1
 107 2.4602242e-001 1.05e+000 3.71e-004  -5.5 1.29e-001  -4.1 1.00e+000 1.00e+000h  1
 108 2.3772608e-001 2.11e+000 6.96e-004  -6.0 2.57e-001  -4.5 9.91e-001 1.00e+000h  1
 109 2.3533046e-001 6.71e-001 3.94e-004  -6.4 1.34e-001  -4.1 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110 2.3457297e-001 2.63e+000 7.38e-004 -11.0 1.59e+000  -4.6 4.25e-001 5.03e-001h  1
 111 2.3438473e-001 2.41e-001 1.74e-003  -6.9 2.17e-001  -4.2 1.00e+000 1.00e+000h  1
 112 2.3397103e-001 3.25e-001 6.53e-004  -7.5 7.28e-002  -3.7 1.00e+000 1.00e+000h  1
 113 2.3412484e-001 4.88e-002 7.39e-004  -7.1 9.75e-002  -4.2 1.00e+000 1.00e+000h  1
 114 2.3409080e-001 1.06e-001 3.14e-003  -7.2 2.86e-001  -4.7 5.24e-001 4.88e-001h  1
 115 2.3406124e-001 1.34e-002 7.34e-004  -7.2 5.10e-002  -4.3 1.00e+000 1.00e+000h  1
 116 2.3399369e-001 1.89e-001 2.03e-004  -7.4 1.58e-001  -4.7 1.00e+000 1.00e+000h  1
 117 2.3396145e-001 6.89e-003 7.96e-005  -7.5 6.82e-002  -4.3 1.00e+000 1.00e+000h  1
 118 2.3405383e-001 1.36e-001 2.78e-003  -7.2 3.06e-001  -4.8 1.00e+000 1.00e+000h  1
 119 2.3404264e-001 2.59e-001 1.90e-003  -7.3 6.29e+000  -5.3 1.07e-001 4.42e-002h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120 2.3399836e-001 5.78e-002 4.89e-004  -7.3 3.61e-002  -3.9 7.32e-001 1.00e+000h  1
 121 2.3399575e-001 4.44e-002 6.21e-005  -7.3 7.81e-002  -4.4 1.00e+000 1.00e+000h  1
 122 2.3399463e-001 1.73e-002 1.09e-005  -7.3 6.90e-002  -4.9 1.00e+000 1.00e+000h  1
 123 2.3397671e-001 5.37e-004 5.19e-006  -7.4 1.09e-001  -5.4 1.00e+000 1.00e+000h  1
 124 2.3386031e-001 2.84e-002 2.56e-004  -7.9 6.81e-002  -5.8 9.99e-001 1.00e+000h  1
 125 2.3392414e-001 1.98e-003 1.11e-004  -7.5 8.37e-003  -4.5 1.00e+000 1.00e+000h  1
 126 2.3384806e-001 1.40e-003 4.10e-005  -8.0 1.01e-002  -5.0 1.00e+000 1.00e+000h  1
 127 2.3382745e-001 1.61e-003 3.48e-005  -8.5 1.72e-002  -5.5 1.00e+000 1.00e+000h  1
 128 2.3381742e-001 7.41e-004 3.74e-006  -9.1 3.99e-002  -5.9 1.00e+000 1.00e+000h  1
 129 2.3381586e-001 2.32e-004 1.15e-006  -9.5 8.56e-002  -6.4 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130 2.3381504e-001 1.20e-005 2.54e-006 -10.1 1.53e-001  -6.9 1.00e+000 1.00e+000h  1
